OBJECTID *,Shape *,FID_Macro,SiteID,CC_Num,Waterbody,Location,Date_,Sample_Type,Bioclass,Latitude,Longitude,EPT_S,BI,% Impervious,Drainage,Elevation,Boulder,Cobble,Gravel,Sand,Silt,Other_Substrate,Sub_Desc,Canopy,Temp_C,Sp_Cond,pH_SU,Diss_Oxy,Stream_Width,Channel_Width,Avg_Stream_Depth,MaxStream_Depth,Channel_Modification,Instream_Habitat,Substrate,Shade,Region,Basin,FID_Haw_Upper_Nuese_piedmont,FID_Haw_Upper_Nuese,BASIN,FID_Piedmont_statecl
13,Point,434,BB349,8713,CRANE CR,SR 2005,2002-04-22T00:00:00Z,Full Scale,Good-Fair,35.261389,-79.252222,15,5.906341,0.0144105799369,60.7,245,0,0,0,75,15,<Null>,NA,80,22,63,6.3,6,8,<Null>,0.4,<Null>,15,17,10,10,<Null>,<Null>,1,1,Cape Fear,1
14,Point,83,BB332,8712,BEAVER CR,SR 1825,2002-04-23T00:00:00Z,Full Scale,Good-Fair,35.269167,-79.226944,17,5.596732,0.00902004454343,13.3,245,0,10,30,60,0,<Null>,NA,80,23,27,5.4,6,4,<Null>,0.4,<Null>,15,17,13,10,<Null>,<Null>,1,1,Cape Fear,1
15,Point,435,BB418,8711,CRANE CR,US 1,2002-04-23T00:00:00Z,Full Scale,Good,35.284444,-79.271944,25,5.476172,0.0127663195729,33,257,5,5,10,70,10,<Null>,NA,75,21,56,6.6,6.3,6,<Null>,0.3,<Null>,15,15,13,10,<Null>,<Null>,1,1,Cape Fear,1
16,Point,1236,BB191,9103,L CRANE CR,NR US 1,2003-04-30T00:00:00Z,Full Scale,Good-Fair,35.2975,-79.266111,19,4.988701,0.0174472991964,16.7,300,0,5,20,70,5,<Null>,NA,90,18,42,6.5,8.6999999999999993,9,10,0.5,1.2,15,15,7,10,<Null>,<Null>,1,1,Cape Fear,1
17,Point,432,BB331,8710,CRANE CR,SR 1810,2002-04-23T00:00:00Z,Full Scale,Good,35.31,-79.324444,23,5.129614,0.0157073765579,16.8,310,0,0,40,60,0,<Null>,NA,90,16,53,6.3,6.9,5,<Null>,0.2,<Null>,15,20,11,10,<Null>,<Null>,1,1,Cape Fear,1
18,Point,433,BB331,9104,CRANE CR,SR 1810,2003-04-03T00:00:00Z,EPT,Good-Fair,35.31,-79.324444,19,3.06,0.0157073765579,16.8,310,0,5,20,75,0,<Null>,NA,80,18,40,6.3,8.5,9,10,0.4,0.8,15,17,7,10,<Null>,<Null>,1,1,Cape Fear,1
19,Point,1590,BB172,3372,MCLENDONS CR,SR 1210,1984-11-01T00:00:00Z,Full Scale,Not Rated,35.317222,-79.543889,28,5.60365,0.00833471034215,14.8283,350,0,0,30,70,0,<Null>,NA,8,<Null>,<Null>,<Null>,<Null>,7,<Null>,0.4,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
20,Point,989,BB117,8709,HERDS CR,NC 24-27,2002-04-23T00:00:00Z,Qual 5,Not Impaired,35.319167,-79.301667,26,4.662844,NA,9.05,314,10,10,20,60,0,<Null>,NA,90,17,67,6.8,7.8,3,<Null>,0.3,<Null>,15,20,13,10,<Null>,<Null>,1,1,Cape Fear,1
21,Point,1235,BB118,9101,L CRANE CR,NC 24-27,2003-04-30T00:00:00Z,Full Scale,Not Rated,35.325,-79.251111,13,5.267669,0.0132916990777,15.2,300,0,0,15,75,10,<Null>,NA,70,17,39,6.6,8,6,7,0.4,1.2,15,15,7,10,<Null>,<Null>,1,1,Cape Fear,1
22,Point,975,BB456,3720,HAYSTACK CR,NR MOUTH,1986-03-06T00:00:00Z,Full Scale,Good,35.338889,-79.566111,21,5.112,0.00296801258521,0.63,422,30,20,30,20,0,<Null>,NA,1,<Null>,<Null>,<Null>,<Null>,3,<Null>,0.8,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
23,Point,976,BB170,3207,HAYSTACK CR,NR SR 1261,1984-02-14T00:00:00Z,Full Scale,Good,35.345833,-79.577778,25,4.072159,0.00527397260274,0.14,535,0,20,50,20,0,<Null>,NA,6,<Null>,<Null>,<Null>,<Null>,2,<Null>,0.7,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
24,Point,2766,BB526,11579,WET CR,SR 1270,2013-06-05T00:00:00Z,EPT,Good-Fair,35.346941,-79.641449,18,3.990909,NA,8.4,480,25,30,20,20,<Null>,5,bedrock,80,20.2,50,6.3,7.6,7,8,0.2,0.6,5,17,15,10,<Null>,<Null>,1,1,Cape Fear,1
25,Point,1174,BB202,4770,JUNIPER CR,SR 1144,1988-11-30T00:00:00Z,EPT,Fair,35.379722,-79.132778,9,4.315152,NA,14.2,313,0,10,20,70,0,<Null>,NA,9,<Null>,<Null>,<Null>,<Null>,5,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
26,Point,374,BB276,3203,COTTON CR,SR 1372,1984-02-22T00:00:00Z,Full Scale,Poor,35.378611,-79.756389,2,8.187879,0.0508390732624,2.2,510,0,0,0,99,0,<Null>,NA,7,<Null>,<Null>,<Null>,<Null>,4,<Null>,0.7,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
27,Point,375,BB276,4614,COTTON CR,SR 1372,1988-07-25T00:00:00Z,Qual 4,Poor,35.378611,-79.756389,0,9.137143,0.0508390732624,2.2,510,10,30,0,60,0,<Null>,NA,7,<Null>,<Null>,<Null>,<Null>,4,<Null>,0.5,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
28,Point,376,BB276,6017,COTTON CR,SR 1372,1992-09-16T00:00:00Z,Full Scale,Fair,35.378611,-79.756389,4,6.096429,0.0508390732624,2.2,510,15,30,15,40,0,<Null>,NA,0,<Null>,<Null>,<Null>,<Null>,2,<Null>,0.1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
29,Point,377,BB276,7762,COTTON CR,SR 1372,1998-09-11T00:00:00Z,Full Scale,Poor,35.378611,-79.756389,4,6.706417,0.0508390732624,2.2,510,20,10,25,40,5,<Null>,NA,90,<Null>,1200,<Null>,<Null>,4,<Null>,0.3,<Null>,4,15,8,10,<Null>,<Null>,1,1,Cape Fear,1
30,Point,378,BB276,8636,COTTON CR,SR 1372,2001-09-27T00:00:00Z,Full Scale,Poor,35.378611,-79.756389,2,6.774286,0.0508390732624,2.2,510,20,20,40,20,0,<Null>,NA,0,14,1000,7.8,8,3,<Null>,0.1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
31,Point,229,BB279,6019,CABIN CR,SR 1400,1992-09-21T00:00:00Z,EPT,Not Rated,35.380556,-79.719167,14,4.331818,NA,11.904133,463,35,40,15,10,0,<Null>,NA,0,<Null>,<Null>,<Null>,<Null>,5,<Null>,0.1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
32,Point,230,BB279,6104,CABIN CR,SR 1400,1993-02-23T00:00:00Z,EPT,Good,35.380556,-79.719167,27,3.689189,NA,11.904133,463,30,35,15,20,0,<Null>,NA,90,<Null>,<Null>,<Null>,<Null>,6,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
33,Point,231,BB279,7508,CABIN CR,SR 1400,1998-03-05T00:00:00Z,EPT,Good,35.380556,-79.719167,29,4.160241,NA,11.904133,463,20,30,25,25,0,<Null>,NA,90,7,35,6.8,8,6,<Null>,0.3,<Null>,5,18,12,9,<Null>,<Null>,1,1,Cape Fear,1
34,Point,232,BB279,9026,CABIN CR,SR 1400,2002-09-30T00:00:00Z,EPT,Not Rated,35.380556,-79.719167,3,4.666667,NA,11.904133,463,30,40,20,10,0,<Null>,NA,0,20,35,7.4,8.4,5,5,0.3,0.6,5,19,15,10,<Null>,<Null>,1,1,Cape Fear,1
35,Point,233,BB279,8879,CABIN CR,SR 1400,2003-02-04T00:00:00Z,EPT,Good-Fair,35.380556,-79.719167,22,3.978182,NA,11.904133,463,30,40,15,15,0,<Null>,NA,70,9,62,6.4,11.6,5,5,0.3,0.5,5,20,12,10,<Null>,<Null>,1,1,Cape Fear,1
36,Point,234,BB279,9123,CABIN CR,SR 1400,2003-04-30T00:00:00Z,EPT,Good,35.380556,-79.719167,25,3.748276,NA,11.904133,463,30,40,20,10,0,<Null>,NA,90,18,56,<Null>,9.8000000000000007,5,6,0.3,0.4,5,20,15,10,<Null>,<Null>,1,1,Cape Fear,1
37,Point,369,BB274,3204,COTTON CR,SR 1370,1984-02-22T00:00:00Z,Full Scale,Fair,35.387222,-79.7375,10,6.570476,0.0460466809006,6.9785,489,0,0,0,99,0,<Null>,NA,7,<Null>,<Null>,<Null>,<Null>,4,<Null>,0.7,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
38,Point,370,BB274,6018,COTTON CR,SR 1370,1992-09-16T00:00:00Z,Full Scale,Fair,35.387222,-79.7375,7,6.576471,0.0460466809006,6.9785,489,35,35,15,15,0,<Null>,NA,0,<Null>,<Null>,<Null>,<Null>,5,<Null>,0.1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
39,Point,371,BB274,7763,COTTON CR,SR 1370,1998-09-11T00:00:00Z,Full Scale,Fair,35.387222,-79.7375,11,6.102212,0.0460466809006,6.9785,489,30,20,20,25,5,<Null>,NA,90,<Null>,700,<Null>,<Null>,7,<Null>,0.5,<Null>,5,16,12,10,<Null>,<Null>,1,1,Cape Fear,1
40,Point,372,BB274,8630,COTTON CR,SR 1370,2001-09-27T00:00:00Z,Full Scale,Fair,35.387222,-79.7375,7,6.138017,0.0460466809006,6.9785,489,30,20,40,10,0,<Null>,NA,0,13.8,568,7.6,7.2,5,<Null>,0.1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
41,Point,373,BB274,10274,COTTON CR,SR 1370,2007-07-26T00:00:00Z,Full Scale,Good-Fair,35.387222,-79.7375,13,5.753975,0.0460466809006,6.9785,489,5,30,40,10,0,<Null>,NA,90,24.8,330,7.4,5.9,6,7,0.2,0.4,5,15,15,8,<Null>,<Null>,1,1,Cape Fear,1
42,Point,2763,BB119,6097,WET CR,NC 24-27,1993-02-23T00:00:00Z,EPT,Good,35.390278,-79.640833,34,4.098305,NA,16,415,25,35,20,20,0,<Null>,NA,90,<Null>,<Null>,<Null>,<Null>,7,<Null>,0.2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
43,Point,2764,BB119,7510,WET CR,NC 24-27,1998-03-05T00:00:00Z,EPT,Good,35.390278,-79.640833,24,3.423077,NA,16,415,25,15,25,30,5,<Null>,NA,80,9,22,6.9,7.8,7,<Null>,0.4,<Null>,5,19,11,7,<Null>,<Null>,1,1,Cape Fear,1
44,Point,2765,BB119,9178,WET CR,NC 24-27,2003-07-09T00:00:00Z,EPT,Good,35.390278,-79.640833,24,4.489623,NA,16,415,20,20,20,40,0,<Null>,NA,80,24.1,38,<Null>,7.8,8,<Null>,0.2,0.6,5,16,12,10,<Null>,<Null>,1,1,Cape Fear,1
45,Point,227,BB160,6020,CABIN CR,OWL FARM RD,1992-09-21T00:00:00Z,Full Scale,Fair,35.391667,-79.712222,11,6.378448,0.0275620681579,23.3225,445,20,35,15,30,0,<Null>,NA,0,<Null>,<Null>,<Null>,<Null>,6,<Null>,0.1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
46,Point,1619,BB167,6103,MILL CR,SR 1275,1993-02-23T00:00:00Z,Full Scale,Excellent,35.401667,-79.661111,39,4.166295,0.0162740798517,17.4,405,20,35,20,25,0,<Null>,NA,80,<Null>,<Null>,<Null>,<Null>,6,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
47,Point,1620,BB167,6330,MILL CR,SR 1275,1993-08-09T00:00:00Z,Full Scale,Good,35.401667,-79.661111,22,5.195858,0.0162740798517,17.4,405,10,10,35,40,5,<Null>,NA,100,<Null>,<Null>,<Null>,<Null>,6,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
48,Point,1621,BB167,7509,MILL CR,SR 1275,1998-03-05T00:00:00Z,Full Scale,Good,35.401667,-79.661111,31,4.709836,0.0162740798517,17.4,405,10,10,55,25,0,<Null>,NA,90,8,35,6.9,9,9,<Null>,0.3,<Null>,4,15,8,10,<Null>,<Null>,1,1,Cape Fear,1
49,Point,1622,BB167,7684,MILL CR,SR 1275,1998-07-21T00:00:00Z,EPT,Good-Fair,35.401667,-79.661111,20,4.166667,0.0162740798517,17.4,405,15,25,40,20,0,<Null>,NA,85,25,52,<Null>,6.1,8,<Null>,0.1,<Null>,4,11,11,10,<Null>,<Null>,1,1,Cape Fear,1
50,Point,1623,BB167,9177,MILL CR,SR 1275,2003-07-09T00:00:00Z,EPT,Good,35.401667,-79.661111,26,3.80283,0.0162740798517,17.4,405,25,25,30,25,0,<Null>,NA,70,26,53,<Null>,7.5,6,8,0.2,0.7,5,12,12,7,<Null>,<Null>,1,1,Cape Fear,1
51,Point,1624,BB167,10378,MILL CR,SR 1275,2008-02-05T00:00:00Z,EPT,Not Rated,35.401667,-79.661111,14,3.904,0.0162740798517,17.4,405,30,25,15,25,0,<Null>,NA,70,<Null>,<Null>,<Null>,<Null>,5,7,0.3,1,5,20,12,10,<Null>,<Null>,1,1,Cape Fear,1
52,Point,1625,BB167,10616,MILL CR,SR 1275,2009-03-23T00:00:00Z,EPT,Excellent,35.401667,-79.661111,32,3.574038,0.0162740798517,17.4,405,30,30,20,10,10,<Null>,NA,70,9.5,47.8,5.9,12.3,7,8,0.3,1,5,20,8,10,<Null>,<Null>,1,1,Cape Fear,1
53,Point,228,BB162,6021,CABIN CR,SR 1275,1992-09-21T00:00:00Z,Full Scale,Good,35.401944,-79.660278,27,5.466253,0.016269438437,47.4823,397,25,40,15,20,0,<Null>,NA,0,<Null>,<Null>,<Null>,<Null>,7,<Null>,0.2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
54,Point,1890,BB175,9624,PARKWOOD BR,NC 22,2005-05-16T00:00:00Z,Qual 4,Good,35.408056,-79.485,24,5.035652,NA,2.9,300,5,40,30,20,0,<Null>,NA,80,19.399999999999999,71,6.8,7.4,3,4,0.2,0.5,5,16,12,10,<Null>,<Null>,1,1,Cape Fear,1
55,Point,2786,BB177,3205,WOLF CR,SR 1403,1984-02-22T00:00:00Z,Full Scale,Good,35.432222,-79.711944,30,5.303987,0.0110427691507,8,460,20,20,10,50,0,<Null>,NA,7,<Null>,<Null>,<Null>,<Null>,7,<Null>,0.4,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
56,Point,2787,BB177,4615,WOLF CR,SR 1403,1988-07-15T00:00:00Z,EPT,Good-Fair,35.432222,-79.711944,17,5.545263,0.0110427691507,8,460,25,30,20,25,0,<Null>,NA,7,<Null>,<Null>,<Null>,<Null>,4,<Null>,0.2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
57,Point,54,BB152,6331,BEAR CR,NC 705,1993-08-09T00:00:00Z,Full Scale,Good-Fair,35.440833,-79.589167,22,6.256654,0.0101199401048,138,325,15,15,40,25,5,<Null>,NA,80,<Null>,<Null>,<Null>,<Null>,21,<Null>,0.5,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
58,Point,55,BB152,7683,BEAR CR,NC 705,1998-07-21T00:00:00Z,Full Scale,Good,35.440833,-79.589167,25,5.651682,0.0101199401048,138,325,10,30,30,30,0,<Null>,NA,70,26,88,<Null>,3.5,18,<Null>,0.3,<Null>,5,15,11,10,<Null>,<Null>,1,1,Cape Fear,1
59,Point,56,BB152,9175,BEAR CR,NC 705,2003-07-09T00:00:00Z,Full Scale,Good,35.440833,-79.589167,27,5.398502,0.0101199401048,138,325,25,20,30,25,0,<Null>,NA,20,24.6,59,6.9,6,15,29,0.4,0.9,5,20,12,10,<Null>,<Null>,1,1,Cape Fear,1
60,Point,57,BB152,10512,BEAR CR,NC 705,2008-07-24T00:00:00Z,Full Scale,Not Rated,35.440833,-79.589167,11,6.694014,0.0101199401048,138,325,10,60,10,0,20,0,NA,90,24.3,77,6.2,3.4,8,30,0.2,0.4,5,20,12,10,<Null>,<Null>,1,1,Cape Fear,1
61,Point,58,BB152,11574,BEAR CR,NC 705,2013-06-05T00:00:00Z,Full Scale,Good-Fair,35.440833,-79.589167,20,6.115556,0.0101199401048,138,325,15,10,50,25,<Null>,<Null>,NA,30,21.6,64,6.5,5.9,22,24,0.5,1,5,18,7,3,<Null>,<Null>,1,1,Cape Fear,1
62,Point,1591,BB173,6110,MCLENDONS CR,SR 1628,1993-02-24T00:00:00Z,EPT,Not Rated,35.450278,-79.4225,13,5.268421,0.00792217716282,98.5519,245,0,0,10,60,30,<Null>,NA,0,<Null>,<Null>,<Null>,<Null>,12,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
63,Point,1592,BB173,6332,MCLENDONS CR,SR 1628,1993-08-09T00:00:00Z,Full Scale,Not Rated,35.450278,-79.4225,8,6.551282,0.00792217716282,98.5519,245,5,5,10,20,60,<Null>,NA,90,<Null>,<Null>,<Null>,<Null>,11,<Null>,0.8,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
64,Point,436,BB164,7496,CRAWLEY CR,SR 1625,1998-02-11T00:00:00Z,EPT,Not Rated,35.456944,-79.370556,10,5.586667,NA,14,241,0,0,0,0,0,<Null>,NA,100,<Null>,<Null>,<Null>,<Null>,7,<Null>,0.9,<Null>,4,12,1,10,<Null>,<Null>,1,1,Cape Fear,1
65,Point,121,BB157,6111,BIG GOVERNORS CR,SR 1625,1993-02-24T00:00:00Z,Full Scale,Not Rated,35.458056,-79.37,10,6.051773,0.00514522362112,31.37,235,0,10,10,35,45,<Null>,NA,0,<Null>,<Null>,<Null>,<Null>,9,<Null>,0.5,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
66,Point,122,BB157,7502,BIG GOVERNORS CR,SR 1625,1998-02-16T00:00:00Z,Full Scale,Not Rated,35.458056,-79.37,11,6.235714,0.00514522362112,31.37,235,10,5,0,20,15,<Null>,NA,80,6.5,58,6.7,11.7,9,<Null>,0.6,<Null>,4,17,1,10,<Null>,<Null>,1,1,Cape Fear,1
67,Point,206,BB159,6101,BUFFALO CR,NC 22,1993-02-23T00:00:00Z,EPT,Not Rated,35.470833,-79.516944,20,3.583784,NA,22,284,40,30,20,15,0,<Null>,NA,70,<Null>,<Null>,<Null>,<Null>,8,<Null>,0.2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
68,Point,207,BB159,7501,BUFFALO CR,NC 22,1998-02-16T00:00:00Z,EPT,Not Rated,35.470833,-79.516944,27,4.119626,NA,22,284,20,35,25,15,0,<Null>,NA,60,6.5,<Null>,7.1,<Null>,10,<Null>,0.2,<Null>,4,17,15,10,<Null>,<Null>,1,1,Cape Fear,1
69,Point,208,BB159,9176,BUFFALO CR,NC 22,2003-07-09T00:00:00Z,EPT,Good-Fair,35.470833,-79.516944,20,4.817925,NA,22,284,25,30,25,20,0,<Null>,NA,80,25.3,77,7.3,6.3,9,10,0.3,0.6,5,16,12,10,<Null>,<Null>,1,1,Cape Fear,1
70,Point,209,BB159,10617,BUFFALO CR,NC 22,2009-03-23T00:00:00Z,EPT,Good-Fair,35.470833,-79.516944,26,3.874747,NA,22,284,25,25,30,10,10,<Null>,NA,70,10.5,72.2,6.2,11.8,11,11,0.3,0.8,5,18,8,10,<Null>,<Null>,1,1,Cape Fear,1
71,Point,210,BB159,11575,BUFFALO CR,NC 22,2013-06-05T00:00:00Z,EPT,Good-Fair,35.470833,-79.516944,16,4.13,NA,22,284,25,30,35,10,<Null>,<Null>,NA,80,21.2,78.2,7,6.9,8,9,0.2,0.8,5,18,13,10,<Null>,<Null>,1,1,Cape Fear,1
72,Point,508,BB165,4995,DEEP R,NC 22,1989-07-26T00:00:00Z,Full Scale,Good,35.478056,-79.520833,24,5.501389,0.0414310900475,801,271,55,25,10,10,0,<Null>,NA,1,<Null>,<Null>,<Null>,<Null>,40,<Null>,0.6,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
73,Point,729,BB169,6102,FALLS CR,SR 1606,1993-02-23T00:00:00Z,EPT,Not Rated,35.483056,-79.516389,18,4.626984,NA,14.1,300,30,40,15,15,0,<Null>,NA,80,<Null>,<Null>,<Null>,<Null>,7,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
74,Point,730,BB169,7500,FALLS CR,SR 1606,1998-02-16T00:00:00Z,EPT,Not Rated,35.483056,-79.516389,17,4.820482,NA,14.1,300,40,30,20,10,0,<Null>,NA,95,6.3,65,7.4,11.9,6,<Null>,0.4,<Null>,4,18,15,10,<Null>,<Null>,1,1,Cape Fear,1
75,Point,518,BB298,3030,DEEP R,SR 1456,1983-08-25T00:00:00Z,Full Scale,Good,35.500278,-79.581111,33,5.148485,0.0502797503385,628,326,30,20,10,40,0,<Null>,NA,2,<Null>,<Null>,<Null>,<Null>,50,<Null>,0.4,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
76,Point,519,BB298,4352,DEEP R,SR 1456,1985-08-08T00:00:00Z,Full Scale,Excellent,35.500278,-79.581111,33,5.166129,0.0502797503385,628,326,30,20,10,40,0,<Null>,NA,2,<Null>,<Null>,<Null>,<Null>,50,<Null>,0.4,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
77,Point,520,BB298,3890,DEEP R,SR 1456,1986-08-06T00:00:00Z,Full Scale,Excellent,35.500278,-79.581111,32,4.92665,0.0502797503385,628,326,30,20,10,40,0,<Null>,NA,2,<Null>,<Null>,<Null>,<Null>,50,<Null>,0.5,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
78,Point,521,BB298,4212,DEEP R,SR 1456,1987-08-27T00:00:00Z,Full Scale,Excellent,35.500278,-79.581111,38,5.070562,0.0502797503385,628,326,20,30,20,30,0,<Null>,NA,3,<Null>,<Null>,<Null>,<Null>,40,<Null>,0.5,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
